WKT,Cadlog,Id_acident,Cadloga,Cadlogb,Alt_num,Referencia,Data,Hora,Cod_acid,Fonte,Viatura,Dp,Talao,Sentido,Pista,Veiculos,Vitimas,Dec,Distrito,Folha,Princ_a,Princ_b,Placa1,Tipo_plac1,Placa2,Tipo_plac2,Placa3,Tipo_plac3,Tipo_acide,Flag_dupl,Nv_dupl,Duplacas,Dia
"POINT (-46.632054 -23.556534)",,D011100001,33306,,100,,2011/01/02,1612,2,D,,01,20,,,10000000000000000,0200,HG,02,0100,33667,,KWP2259,AU,,,,,SI,,,,
"POINT (-46.637519 -23.559496)",,D011100002,11818,,749,,2011/01/03,0840,2,D,,01,33,,,11000000000000000,0100,CT,49,0100,11818,,DYW2218,MO,BST2825,AU,,,CO,,,,
"POINT (-46.647363 -23.5473)",,D011100003,33667,,,NC,2011/01/03,1114,2,D,,01,41,,,11000000000000000,0100,CT,02,0100,33667,,DZQ2780,MO,DSG0177,AU,,,SI,,,,
"POINT (-46.637821 -23.556102)",,D011100004,33667,,,NC,2011/01/03,1432,2,D,,01,45,,,20000000000000000,0100,CT,02,0100,33667,,EMP8973,AU,EES4965,AU,,,CT,,,,
"POINT (-46.635234 -23.551538)",,D011100005,10376,,01,,2011/01/06,0842,2,D,,01,144,,,11000000000000000,0200,CT,80,0100,10376,,DVU5879,MO,EFU6878,AU,,,CT,,,,
"POINT (-46.634994 -23.549879)",,D011100006,16744,03189,,,2011/01/06,1415,4,D,,01,161,,,01000000000000000,0100,CT,80,0100,03189,16744,EJM2403,MO,,,,,AT,,,,
"POINT (-46.637821 -23.556102)",,D011100007,33667,,,ENVD GLORIA,2011/01/08,0348,2,D,,01,212,B,,10000000000000000,0200,CT,02,0100,33667,,EEY8407,AU,,,,,CT,,,,
"POINT (-46.636219 -23.549541)",,D011100009,03189,,,PXR QUINTINO B,2011/01/11,1731,4,D,,01,333,,,00000001000000000,0100,CT,80,0101,03189,,ECT7839,OU,,,,,AT,,,,
"POINT (-46.638555 -23.549952)",,D011100010,19764,,100,,2011/01/12,1326,4,D,,01,357,,,10000000000000000,0100,VM,17,0101,19764,,CRW4523,AU,,,,,AT,,,,
"POINT (-46.626893 -23.534542)",,D011100011,04146,,1142,,2011/01/12,1630,4,D,,01,366,,,10000000000000000,0100,CT,09,0101,04146,,CNT2842,AU,,,,,AT,,,,
"POINT (-46.637222 -23.556022)",,D011100226,33667,,,NC,2011/01/14,0715,2,D,,01,419,B,,11000000000000000,0100,CT,02,0126,33667,,DFA5326,MO,ELF5537,AU,,,SI,,,,
"POINT (-46.631385 -23.539756)",,D011100012,16725,,478,,2011/01/14,1850,4,D,,01,452,,,10000000000000000,0100,CT,09,0101,16725,,DVI0997,AU,,,,,AT,,,,
"POINT (-46.63463 -23.56199)",,D011100013,07733,,571,,2011/01/15,1335,2,D,,01,469,,,20000000000000000,0100,CT,80,0101,07733,,CJB0558,AU,DMG5515,AU,,,CO,,,,
"POINT (-46.640328 -23.551212)",,D011100014,09758,,10,,2011/01/16,0800,2,D,,01,486,,,10000000000000000,0100,CT,67,0101,09758,,DDR4315,AU,,,,,CH,,,,
"POINT (-46.632891 -23.5526)",,D011100015,01454,10376,,,2011/01/17,0735,4,D,,01,494,,,00000001000000000,0100,CT,80,0101,07664,10376,DJE8770,OU,,,,,AT,,,,
"POINT (-46.632016 -23.539512)",,D011100016,16725,19745,,,2011/01/17,1238,2,D,,01,506,,,00100000000000000,0100,CT,67,0101,16725,19745,DJE8569,ON,,,,,QD,,,,
"POINT (-46.627227 -23.55271)",,D011100017,08024,,,NC,2011/01/18,2230,4,D,,01,560,,,10000000000000000,0100,CT,80,0101,08024,,CMJ1596,AU,,,,,AT,,,,
"POINT (-46.633954 -23.549866)",,D011100018,17545,,300,,2011/01/20,1310,4,D,,01,622,,,11000000000000000,0100,CT,01,0101,17545,,DZS7350,MO,ETN7669,AU,,,AT,,,,
"POINT (-46.635213 -23.551687)",,D011100020,15635,,,NC,2011/01/25,0631,4,D,,01,754,,,10000000000000000,0100,CT,80,0102,13317,,DJB1839,AU,,,,,AT,,,,
"POINT (-46.641134 -23.550856)",,D011100021,09758,,100,,2011/01/26,2114,4,D,,01,806,,,10000000000000000,0100,CT,67,0102,09758,,AOJ4569,AU,,,,,AT,,,,
"POINT (-46.62817 -23.556385)",,D011100023,18777,,10,,2011/01/29,1900,2,D,,01,902,,,10001000000000000,0100,IP,02,0102,18777,,EBB9013,AU,,BI,,,CO,,,,
"POINT (-46.626252 -23.547395)",,D011100024,07122,16870,,,2011/01/30,1020,2,D,,01,912,,,01000000000100000,0100,CT,,0102,07122,16870,DWV1190,MO,FDJ8800,CM,,,CL,,,,
"POINT (-46.625376 -23.55341)",,D011100026,07122,06642,,,2011/01/31,1900,2,D,,01,956,,,01000000000000000,0100,CT,80,0102,06642,07122,DCS8807,MO,,,,,QM,,,,
"POINT (-46.633735 -23.539316)",,D011100027,16725,16593,,,2011/01/11,2230,4,D,,01,1048,,,00000000000000010,0100,CT,67,0102,16593,16725,SIU,SI,,,,,AT,,,,
"POINT (-46.637222 -23.556022)",,D011100028,33667,,,ENVD GLORIA,2011/01/29,1140,2,D,,01,1208,,,11000000000000000,0100,CT,02,0102,33667,,DZN7560,MO,EQK6073,AU,,,CT,,,,
"POINT (-46.680528 -23.513392)",,D011100029,04561,,5200,,2011/01/03,1600,4,D,,02,17,,,10000000000000000,0100,TT,06,0103,29772,,EMX1450,AU,,,,,AT,,,,
"POINT (-46.674401 -23.515182)",,D011100030,04561,,5000,,2011/01/04,0730,2,D,,02,29,,,12000000000000000,0100,TT,06,0103,29772,,SI,MO,KUS2824,MO,JJA1492,AU,CO,,,,
"POINT (-46.632742 -23.523725)",,D011100031,06642,,680,,2011/01/12,0453,2,D,,02,84,,,00010000000100000,0100,CT,09,0103,06642,,ERA7799,CA,EBC3474,CM,,,CH,,,,
"POINT (-46.634763 -23.531826)",,D011100032,00283,17060,,,2011/01/14,1530,4,D,,02,104,C,,00100000000000000,0100,HG,09,0103,00283,17060,DTC6706,ON,,,,,AT,,,,
"POINT (-46.638483 -23.527234)",,D011100033,14528,,18,,2011/01/17,1257,2,D,,02,129,,,00001000000100000,0100,HG,09,0103,14528,,BOE9452,CM,,BI,,,CH,,,,
"POINT (-46.631885 -23.528696)",,D011100034,17799,,01,,2011/01/10,0840,4,D,,02,132,C,,10000000000000000,0100,CT,15,0103,17799,,EMF0496,AU,,,,,AT,,,,
"POINT (-46.650467 -23.518026)",,D011100035,04561,18411,,,2011/01/19,0115,2,D,,02,153,,,10000000000000010,0200,TT,09,0103,04561,18411,EBC9051,AU,SI,SI,,,CO,,,,
"POINT (-46.642715 -23.523518)",,D011100036,02864,07216,,,2011/01/17,1325,2,D,,02,158,,,11000000000000000,0100,HG,09,0103,02864,07216,DPX3389,AU,CJN6560,MO,,,CO,,,,
"POINT (-46.631477 -23.525966)",,D011100037,17799,,293,,2011/01/21,0330,4,D,,02,165,,,10000000000000000,0100,CT,15,0103,17799,,DWA3015,AU,,,,,AT,,,,
"POINT (-46.630334 -23.523287)",,D011100038,17799,,600,,2011/01/25,1310,2,D,,02,195,C,,01000000000000000,0200,CT,15,0103,17799,,JLX0381,MO,,,,,CO,,,,
"POINT (-46.631603 -23.526771)",,D011100039,17799,,167,,2011/01/26,1700,4,D,,02,220,,,01000000000000000,0200,CT,15,0104,17799,,DXM2476,MO,,,,,AT,,,,
"POINT (-46.630832 -23.525778)",,D011100040,17799,,280,,2011/01/26,1840,2,D,,02,221,B,,02000000000000000,0100,CT,15,0104,17799,,DXK2959,MO,EXE4931,MO,,,CT,,,,
"POINT (-46.648715 -23.527049)",,D011100041,17507,,,PXPTE CASA VERD,2011/01/28,0114,2,D,,02,236,C,,11000000000000000,0100,HG,70,0104,17507,,EJN3284,MO,CYQ7235,AU,,,SI,,,,
"POINT (-46.647191 -23.518445)",,D011100042,09489,04561,,,2011/01/31,1625,4,D,,02,264,,,01000000000000000,0200,TT,09,0104,04561,09489,EQR4341,MO,,,,,AT,,,,
"POINT (-46.630808 -23.527323)",,D011100043,18993,,931,,2011/01/31,2011,4,D,,02,267,C,,00000001000000000,0100,CT,09,0104,18993,,DTB7247,OU,,,,,AT,,,,
"POINT (-46.598716 -23.527213)",,D011100044,04561,,,NC,2011/01/18,1450,2,D,,02,409,,,00010000000100000,0200,TT,06,0104,29772,,BTO9309,CA,DDR6554,CM,,,CO,,,,
"POINT (-46.72149 -23.507182)",,D011100045,35449,,,KM79,2011/01/02,1915,2,D,,02,72,,,30000000000100000,0200,RV,64,0104,35449,,EIT5775,AU,EPP4502,CM,DIF2945,AU,CT,,,,
"POINT (-46.636118 -23.538979)",,D011100048,00700,,,FTPOUPA,2011/01/03,1725,2,D,,03,83,,,11000000000000000,0100,CT,67,0105,00700,,DUV7444,MO,DLM4825,AU,,,CL,,,,
"POINT (-46.637306 -23.539893)",,D011100049,09276,,1225,,2011/01/05,2150,4,D,,03,124,,,00000001000000000,0100,CT,67,0105,09276,,DJC2065,OU,,,,,AT,,,,
"POINT (-46.63887 -23.548487)",,D011100050,14804,,,ENTUNEL ANHANG,2011/01/06,1015,2,D,,03,140,,,10000000000100000,0100,CT,63,0105,14804,,CLX0223,AU,DPA8958,CM,,,CT,,,,
"POINT (-46.640664 -23.537968)",,D011100051,08536,,336,,2011/01/06,1325,4,D,,03,157,,,10000000000000000,0100,HG,70,0105,08536,,DIM2731,AU,,,,,AT,,,,
"POINT (-46.643287 -23.539953)",,D011100052,11883,,49,,2011/01/08,2215,4,D,,03,225,,,10000000000000000,0100,HG,70,0105,11883,,DPN2328,AU,,,,,AT,,,,
"POINT (-46.634516 -23.539928)",,D011100053,07418,,167,,2011/01/09,1015,2,D,,03,235,,,10000001000000000,0100,CT,67,0105,07418,,CJD6100,AU,DTB1465,OU,,,CL,,,,
"POINT (-46.644926 -23.546236)",,D011100054,09276,02115,,,2011/01/12,0235,2,D,,03,324,,,20000000000000000,0400,HG,80,0105,02115,09276,CQZ7095,AU,EQF8169,AU,,,CO,,,,
