WKT,Id_acident,Cadloga,Cadlogb,Alt_num,Referencia,Data,Hora,Cod_acid,Fonte,Viatura,Dp,Talao,Sentido,Pista,Veiculos,Vitimas,Dec,Distrito,Folha,Princ_a,Princ_b,Placa1,Tipo_plac1,Placa2,Tipo_plac2,Placa3,Tipo_plac3,Tipo_acide,Flag_dupl,Nv_dupl,Duplacas,Cadlog
"POINT (-46.729426 -23.624228)",D011200001,99078,,181,,2012/01/01,0139,4,D,,01,02,,,00000000000100000,0100,CT,80,0101,99078,,DSC5232,CM,,,,,AT,,,,
"POINT (-46.6395 -23.551991)",D011200002,13317,,201,,2012/01/01,0816,2,D,,01,08,,,10000000000000000,0300,CT,17,0101,13317,,DSF9060,AU,,,,,CH,,,,
"POINT (-46.632946 -23.556366)",D011200003,33306,,,NC,2012/01/02,1508,2,D,,01,25,,,01000000000000000,0100,HG,02,0101,33667,,EXB8880,MO,,,,,QM,,,,
"POINT (-46.636313 -23.55654)",D011200004,33667,,100,,2012/01/03,1320,2,D,,01,55,,,01000000000000000,0100,CT,02,0101,33667,,EOY6234,MO,,,,,QM,,,,
"POINT (-46.633518 -23.548919)",D011200005,20418,,,NC,2012/01/03,2200,4,D,,01,67,,,00000000000000010,0100,CT,01,0101,20418,,,SI,,,,,AT,,,,
"POINT (-46.631216 -23.546241)",D011200006,15984,,,NC,2012/01/04,1206,4,D,,01,93,,,01000000000000000,0200,CT,01,0101,15984,,DZL0681,MO,,,,,AT,,,,
"POINT (-46.6261 -23.547376)",D011200007,16870,,,NC,2012/01/04,1340,4,D,,01,95,,,00100000000000000,0100,SI,01,0101,16870,,DTB2593,ON,,,,,AT,,,,
"POINT (-46.635396 -23.551198)",D011200008,17025,16744,,,2012/01/07,0641,4,D,,01,182,,,00000001000000000,0100,SI,80,0101,16744,17025,DJB5762,OU,,,,,AT,,,,
"POINT (-46.630396 -23.552563)",D011200009,18556,18210,,,2012/01/07,1500,2,D,,01,196,,,00000000000200000,0600,SI,80,0102,18210,18556,ETK7908,CM,BPT5748,CM,,,CO,,,,
"POINT (-46.636152 -23.520265)",D011200010,06642,,,PXMERCADO MUNIC,2012/01/09,1640,4,D,,01,250,,,00000000000000010,0100,SI,09,0102,06642,,,SI,,,,,AT,,,,
"POINT EMPTY",D011200011,19764,02795,,,2012/01/25,1352,4,D,,01,279,,,10000000000000000,0100,SI,67,0102,15261,17025,CRO3581,AU,,,,,AT,,,,
"POINT (-46.629714 -23.544293)",D011200012,06642,,3350,,2012/01/10,1440,2,D,,01,292,C,,11000000000000000,0100,CT,09,0102,06642,,EYC8039,AU,DUV3432,MO,,,CO,,,,
"POINT (-46.634832 -23.557256)",D011200013,01088,,154,,2012/01/15,0152,2,D,,01,317,,,20000000000000000,0100,CT,49,0102,01088,,GOO4458,AU,LUE0857,AU,,,CH,,,,
"POINT (-46.637481 -23.551228)",D011200015,19764,,,PXVD JACEGUAI,2012/01/12,0835,2,D,,01,345,,,01000000000000000,0100,VM,80,0102,19764,,EFC7567,MO,,,,,QM,,,,
"POINT (-46.616396 -23.54291)",D011200016,16870,,300,,2012/01/12,1110,4,D,,01,354,,,01000000000000000,0100,CT,01,0102,16870,,DUY8225,MO,,,,,AT,,,,
"POINT (-46.637934 -23.556083)",D011200017,33667,,,NC,2012/01/13,1200,2,D,,01,393,,,20000000000000000,0100,CT,02,0102,33667,,EGS0749,AU,DWN4636,AU,,,CT,,,,
"POINT (-46.637548 -23.549422)",D011200018,11824,07335,,,2012/01/16,0805,2,D,,01,447,,,00000001000000000,0100,CT,80,0103,07335,11824,ECT1238,OU,,,,,QD,,,,
"POINT (-46.629488 -23.55682)",D011200019,08024,15674,,,2012/01/22,2330,2,D,,01,478,,,10001000000000000,0100,CT,49,0103,08024,15674,,BI,DQQ0189,AU,,,CO,,,,
"POINT (-46.626322 -23.544157)",D011200020,13853,,100,,2012/01/17,0720,4,D,,01,481,,,01000000000000000,0200,CT,09,0103,13853,,JLV6195,MO,,,,,AT,,,,
"POINT (-46.63626 -23.550919)",D011200021,17025,,268,,2012/01/23,2121,4,D,,01,501,,,00000000000000010,0100,CT,01,0103,17025,,,SI,,,,,AT,,,,
"POINT (-46.62835 -23.557236)",D011200022,18777,,99,,2012/01/18,1040,2,D,,01,514,,,11000000000000000,0100,IP,02,0103,18777,,ATQ1905,AU,EQD0584,MO,,,CO,,,,
"POINT (-46.628744 -23.538767)",D011200024,15629,04146,,,2012/01/30,0331,2,D,,01,642,,,11000000000000000,0300,IP,80,0103,04146,15629,EFU7799,AU,EKF3693,MO,,,SI,,,,
"POINT (-46.636121 -23.551901)",D011200025,15635,,100,,2012/01/23,0500,2,D,,01,649,,,10000000000000000,0200,CT,80,0103,15635,,DST7648,AU,,,,,CP,,,,
"POINT (-46.625304 -23.55295)",D011200026,07122,,100,,2012/01/23,0650,2,D,,01,650,,,02000000000000000,0100,CT,10,0103,07122,,DOA0277,MO,DJU2486,MO,,,CO,,,,
"POINT (-46.631216 -23.546241)",D011200027,15984,,,NC,2012/01/23,1800,4,D,,01,694,,,00000000000000010,0100,CT,01,0103,15984,,,SI,,,,,AT,,,,
"POINT (-46.634996 -23.558395)",D011200028,09032,07733,,,2012/01/24,1053,4,D,,01,713,,,10000000000000000,0100,CT,49,0104,07733,09032,DIM4703,AU,,,,,AT,,,,
"POINT (-46.631393 -23.541725)",D011200029,00275,,83,,2012/01/24,1417,4,D,,01,721,,,10000000000000000,0100,CT,80,0104,00275,,FAB8095,AU,,,,,AT,,,,
"POINT (-46.636578 -23.556942)",D011200030,11818,,450,,2012/01/24,1710,2,D,,01,732,,,11000000000000000,0100,CT,49,0104,11818,,CTI2864,AU,DYN9327,MO,,,CO,,,,
"POINT (-46.6284 -23.541243)",D011200031,06642,13853,,,2012/01/26,0600,4,D,,01,754,,,10000000000000000,0100,CT,80,0104,06642,13853,ERZ7347,AU,,,,,AT,,,,
"POINT (-46.629872 -23.552655)",D011200032,18556,,312,,2012/01/26,1910,2,D,,01,797,,,11000000000000000,0100,CT,01,0104,18556,,ETA9587,AU,DYV0248,MO,,,CO,,,,
"POINT (-46.6284 -23.541243)",D011200033,13853,06642,,,2012/01/28,0940,2,D,,01,823,,,11000000000000000,0100,CT,80,0104,06642,13853,DTE0036,AU,ANG3723,MO,,,CO,,,,
"POINT (-46.585027 -23.471655)",D011200034,19743,,421,,2012/01/28,1300,4,D,,01,834,,,10000000000000000,0100,MC,22,0104,19743,,FDI1010,AU,,,,,AT,,,,
