WKT,ID_ACIDENT,CADLOGA,CADLOGB,ALT_NUM,REFERENCIA,DATA,HORA,COD_ACID,SENTIDO,PISTA,VEICULOS,VITIMAS,DEC,DISTRITO,FOLHA,PRINC_A,PRINC_B,TIPO_ACIDE
"POINT (-46.6579259855469 -23.581533121977)",D011400334,10630,00057,,,2014/01/06,1605,2,,,11000000000000000,0100,SO1,53,0217,00057,10630,CO
"POINT (-46.6292486280901 -23.6263631265001)",D011400303,13915,00066,,,2014/01/27,1700,2,,,10001000000000000,0100,SU1,27,0213,00066,07019,CO
"POINT (-46.5827133527649 -23.5439527428159)",D011400124,19387,00185,,,2014/01/21,1615,2,,,20000000000000000,0200,SE1,08,0114,19018,43174,CL
"POINT (-46.6491867239541 -23.6576037679747)",D011400400,35532,00291,,,2014/01/25,2215,2,,,11000000000000000,0200,SU2,37,0225,00291,35532,CO
"POINT (-46.5619369658552 -23.5480198838775)",D011401104,02673,00385,,,2014/01/31,2045,2,,,11000000000000000,0100,SE1,82,0513,00385,02673,CO
"POINT (-46.6566539680304 -23.564489526665)",D011400179,10004,00630,,,2014/01/03,1803,2,,,11000000000000000,0100,SO1,44,0121,00630,10004,CO
"POINT (-46.6115107137401 -23.5647803494486)",D011400105,15967,00651,,,2014/01/08,0648,2,,,11000000000000000,0100,SU1,14,0112,00651,15967,CL
"POINT (-46.6373365478259 -23.4748136482794)",D011400897,44645,00731,,,2014/01/05,1145,2,C,,11000000000000000,0100,CN1,51,0418,00731,44645,CO
"POINT (-46.7110121336398 -23.5736753215411)",D011400541,17822,00855,,,2014/01/10,0951,2,,,02000000000000000,0100,OE3,12,0316,00855,17822,SI
"POINT (-46.7010295442532 -23.518700416548)",D011400406,19951,00915,,,2014/01/17,1120,4,,,10000000000000000,0100,NO1,48,0301,00915,19951,AT
"POINT (-46.4410368515406 -23.4934970060802)",D011401434,17820,00948,,,2014/01/20,1200,4,,,01000000000000000,0100,LE3,76,0701,00948,17820,AT
"POINT (-46.5431191113362 -23.5230606944261)",D011401043,16428,00954,,,2014/01/02,2000,2,,,11000000000000000,0200,LE1,60,0504,00954,18126,CO
"POINT (-46.5901235837071 -23.5243939545508)",D011400831,00541,00967,,,2014/01/21,0753,2,,,10000000000100000,0200,CN2,91,0408,00541,00967,CO
"POINT (-46.6486036353122 -23.5387001780017)",D011400172,01162,00989,,,2014/01/22,1930,4,,,00000001000000000,0100,NO1,70,0120,00989,01162,AT
"POINT (-46.6739064784851 -23.597745494728)",D011400389,19295,00999,,,2014/01/31,0739,4,,,01000000000000000,0100,SO1,34,0223,00999,19295,AT
"POINT (-46.6927789838934 -23.6329002228323)",D011401209,03041,00999,,,2014/01/29,0210,2,,,11000000000000000,0100,SO2,72,0604,00222,00999,CO
