WKT,ID_ACIDENT,CADLOGA,CADLOGB,ALT_NUM,REFERENCIA,DATA,HORA,COD_ACID,FONTE,VIATURA,DP,TALAO,SENTIDO,PISTA,VEICULOS,VITIMAS,DEC,DISTRITO,FOLHA,PRINC_A,PRINC_B,TIPO_PLAC1,TIPO_PLAC2,TIPO_PLAC3,TIPO_ACIDE,Mapinfo_1,Mapinfo_2
"POINT (-46.6272531988932 -23.5526294955708)",D011500001,15584,,,NC,2015/01/02 00:00:00,1700,4,D,,01,43,,,00000000000000010,0100,CN3,80,0101,15584,,SI,,,AT,,
"POINT (-46.6313706980784 -23.5504523083149)",D011500002,16870,,10,,2015/01/06 00:00:00,1815,4,D,,01,158,,,00000000000001000,0100,CN3,80,0101,16870,,JI,,,AT,10 16870,
"POINT (-46.6280924388748 -23.5389469874702)",D011500003,15629,,465,,2015/01/06 00:00:00,2200,4,D,,01,160,,,10000000000000000,0100,CN3,80,0101,15629,,AU,,,AT,465 15629,
"POINT (-46.6333208149566 -23.5465496176906)",D011500004,03403,,104,,2015/01/07 00:00:00,1625,4,D,,01,176,,,00000000000100000,0100,CN3,80,0101,03403,,CM,,,AT,104 03403,
"POINT (-46.6314845981009 -23.5465701548838)",D011500005,19745,07024,,,2015/01/07 00:00:00,2135,4,D,,01,183,,,10000000000000000,0100,CN3,80,0101,07024,19745,AU,,,AT,07024&&19745,
"POINT (-46.6343583349158 -23.5520179463806)",D011500006,10376,17545,,,2015/01/09 00:00:00,0100,4,D,,01,206,B,,10000000000000000,0100,CN3,80,0101,10376,17545,AU,,,AT,17545&&10376,
"POINT (-46.6368721747545 -23.5538637552826)",D011500007,19764,,600,,2015/01/19 00:00:00,1030,2,D,,01,230,,,01000000000100000,0100,SU2,80,0101,19764,,MO,CM,,CO,600 19764,
"POINT (-46.6393869220401 -23.5520424019366)",D011500008,13317,,118,,2015/01/10 00:00:00,0728,2,D,,01,232,,,10001000000000000,0100,CN3,67,0101,13317,,BI,AU,,CO,118 13317,
"POINT (-46.6414360143777 -23.5508270723655)",D011500009,09758,,100,,2015/01/13 00:00:00,0814,4,D,,01,259,,,10000000000000000,0100,CN3,67,0101,09758,,AU,,,AT,100 09758,
"POINT (-46.7651925150556 -23.6812995119095)",D011500010,00003,,3501,,2015/01/14 00:00:00,1337,4,D,,01,306,,,01000000000000000,0100,SO4,42,0102,00003,,MO,,,AT,3501 00003,
"POINT (-46.6370240760963 -23.5217615734939)",D011500011,06642,,180,,2015/01/22 00:00:00,0830,2,D,,01,350,,,10010000000000000,0100,CN1,09,0102,06642,,AU,CA,,CL,180 06642,
"POINT (-46.6462346674041 -23.5506170518428)",D011500012,33667,,1000,,2015/01/16 00:00:00,1200,2,D,,01,357,,,20000000000100000,0100,CN3,67,0102,33667,,CM,AU,AU,CT,1000 33667,
"POINT (-46.6266003739221 -23.5567870238332)",D011500013,11794,,191,,2015/01/16 00:00:00,0950,4,D,,01,359,,,00000001000000000,0100,SU1,49,0102,11794,,OU,,,AT,191 11794,
"POINT (-46.6245904313125 -23.5565927561388)",D011500014,11794,15993,,,2015/01/30 00:00:00,0910,2,D,,01,444,,,11000000000000000,0100,SU1,14,0102,11794,15993,MO,AU,,CO,15993&&11794,
"POINT (-46.6290584366376 -23.5402164726784)",D011500016,13853,,590,,2015/01/28 00:00:00,1030,4,D,,01,643,,,01000000000000000,0100,CN3,80,0102,13853,,MO,,,AT,590 13853,
"POINT (-46.6346423435452 -23.5519973519757)",D011500017,10376,,410,,2015/01/26 00:00:00,0310,2,D,,01,668,,,20000000000000000,0100,CN3,80,0102,10376,,AU,AU,,CT,410 10376,
"POINT (-46.6335987075508 -23.5392334085047)",D011500018,16725,,450,,2015/01/29 00:00:00,1416,2,D,,01,680,,,11000000000000000,0100,CN3,80,0103,16725,,MO,AU,,CO,450 16725,
"POINT (-46.6369184860911 -23.5206673052634)",D011500019,06642,,01,,2015/01/29 00:00:00,2030,4,D,,01,706,,,10000000000000000,0100,CN1,09,0103,06642,,AU,,,AT,1 06642,
"POINT (-46.6341715976986 -23.5524902974319)",D011500020,10376,,169,,2015/01/27 00:00:00,1924,2,D,,01,715,,,10000001000000000,0100,CN3,80,0103,10376,,AU,OU,,CT,169 10376,
"POINT (-46.6279417764335 -23.5413795303269)",D011500021,06642,13853,,,2015/01/27 00:00:00,2100,2,D,,01,722,,,01000000000100000,0100,CN3,80,0103,06642,13853,MO,CM,,CO,13853&&06642,
"POINT (-46.6283976832224 -23.5408597584822)",D011500022,13853,,500,,2015/01/30 00:00:00,1730,4,D,,01,729,,,10000000000000000,0200,CN3,80,0103,13853,,AU,,,AT,500 13853,
"POINT (-46.6329447551959 -23.5563696913401)",D011500023,33306,,01,,2015/01/28 00:00:00,1925,2,D,,01,743,,,11000000000000000,0100,CN3,49,0103,33667,,MO,AU,,CO,1 33306,
"POINT (-46.6117977207787 -23.5635015645245)",D011500024,06642,15967,,,2015/01/24 00:00:00,0615,2,D,,01,872,,,11000000000000000,0100,SU1,14,0103,06642,14805,AU,MO,,CO,15967&&06642,
"POINT (-46.6615542298757 -23.5497577078916)",D011500025,08064,,2905,,2015/01/19 00:00:00,1445,4,D,,01,586,,,01000000000000000,0100,OE1,26,0103,08064,,MO,,,AT,2905 08064,
"POINT (-46.6448864570722 -23.5199206645575)",D011500028,04561,,,NC,2015/01/01 00:00:00,0228,2,D,,02,30,,,00000000000000020,0200,TT,09,0104,29772,,SI,SI,,SI,,
