id_acidente,cadloga,cadlogb,alt_num,referencia,data,hora,cod_acid,tipo_acidente,sentido,automovel,moto,onibus,caminhao,bicicleta,moto_taxi,onibus_fretado,onibus_urbano,microonibus,van,vuc,caminhonete,carreta,jipe,carroca,outros,sem_informacao,feridos,mortos,pista,det,distrito,fonte,princ_a,princ_b
"D011400443","18813","14282","0",,"18/01/2014","12:35","4","AT"," ","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"," ","OE1","63","D","14282","18813"
"D011400863","18151",,"5550",,"03/01/2014","14:15","2","CO"," ","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"," ","CN2","83","D","18151",
"D011401700","16305",,"1175",,"01/01/2014","13:30","2","CL","B","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"," ","CN2","83","D","16305",
"D011401701","06450",,"3361",,"05/01/2014","18:15","2","QM"," ","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"," ","CN1","13","D","06450",
"D011401702","98750",,"0","NC","02/01/2014","10:05","4","AT"," ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"," ","SI ","SI","D","98750",
"D011401704","32617","07491","0",,"07/01/2014","20:45","4","AT","C","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"," ","NO1","06","D","07491","16463"
"D011401705","12457","05328","0",,"08/01/2014","17:00","4","AT","C","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"," ","CN2","88","D","12457","27166"
"D011401706","14270",,"0","SB - PT VILA GUIL.","09/01/2014","15:22","4","AT"," ","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"," ","TT ","88","D","29772",
"D011401707","49592",,"96",,"10/01/2014","03:46","2","QM"," ","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"," ","NO2","03","D","49592",
"D011401708","16919",,"2799",,"04/01/2014","11:45","4","AT"," ","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"," ","OE1","63","D","16919",
"D011401709","05947","36284","0",,"10/01/2014","11:27","4","AT"," ","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"," ","NO1","64","D","05947","36284"
"D011401710","05845",,"566",,"10/01/2014","10:40","4","AT"," ","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"," ","CN2","91","D","05845",
"D011401711","98750",,"0","NC","06/01/2014","09:40","2","QM"," ","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1"," ","SI ","SI","D","98750",
"D011401712","99052",,"2000",,"11/01/2014","15:30","2","CF"," ","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"," ","CN2","51","D","99052",
"D011401713","98938",,"77",,"12/01/2014","22:30","2","QM"," ","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"," ","NO2","41","D","98938",
"D011401714","04423",,"106",,"13/01/2014","03:20","2","CH"," ","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"," ","NO1","61","D","04423",
