Identificação,id_acidente,id_veiculo,tipo_veiculo,sexo_condutor,idade_condutor,categoria_habilitacao,usa_cinto_seguranca,estado_alcoolizacao,escolaridade
725,"D011400443","01","ON","M","37","SI","X","BR","3"
1443,"D011400863","01","MO","M","16","IN","X","BR","3"
1444,"D011400863","02","AU","M","33","SI","X","BR","5"
2772,"D011401700","01","AU","M","26","IN","X","BR","3"
2773,"D011401700","02","ON","M","52","SI","X","BR","8"
2774,"D011401701","01","MO","M","27","IN","X","BR","3"
2775,"D011401701","02","ON","M","53","SI","X","BR","5"
2776,"D011401702","01","SI","X","SI","SI","X","BR","8"
2777,"D011401704","01","AU","M","55","HA","X","BR","7"
2778,"D011401705","01","MO","M","26","SI","X","BR","5"
2779,"D011401706","01","ON","M","49","SI","X","BR","3"
2780,"D011401707","01","MO","M","24","SI","X","BR","5"
2781,"D011401708","01","ON","M","53","SI","X","BR","8"
2782,"D011401709","01","ON","M","62","SI","X","BR","3"
2783,"D011401710","01","AU","M","46","SI","X","BR","3"
2784,"D011401711","01","BI","M","43","NE","X","BR","5"
2785,"D011401712","01","MO","M","42","SI","X","BR","7"
2786,"D011401712","02","AU","F","28","SI","X","BR","5"
2787,"D011401713","01","MO","M","19","SI","X","BR","3"
2788,"D011401714","01","MO","M","36","HA","X","BR","5"
2789,"D011401715","01","MO","M","36","SI","X","BR","6"
2790,"D011401716","01","SI","X","SI","SI","X","BR","8"
2791,"D011401717","01","SI","X","SI","SI","X","BR","8"
2792,"D011401718","01","MO","M","16","IN","X","BR","3"
2793,"D011401719","01","MO","M","19","HA","X","BR","3"
2794,"D011401719","02","AU","F","24","SI","X","BR","3"
2795,"D011401720","01","MO","M","36","SI","X","BR","3"
2796,"D011401720","02","MO","M","33","SI","X","BR","3"
2797,"D011401721","01","AU","M","39","SI","X","AA","2"
2798,"D011401722","01","MO","M","29","SI","X","BR","5"
2799,"D011401723","01","MO","M","24","IN","X","BR","5"
2800,"D011401723","02","AU","X","SI","SI","X","BR","8"
2801,"D011401724","01","AU","F","62","SI","X","BR","7"
2802,"D011401724","02","CA","M","30","SI","X","BR","5"
2803,"D011401725","01","MO","M","51","SI","X","BR","5"
2804,"D011401725","02","AU","X","SI","SI","X","BR","8"
2805,"D011401726","01","MO","M","33","SI","X","BR","7"
2806,"D011401726","02","AU","M","51","SI","X","BR","5"
2807,"D011401727","01","SI","X","SI","SI","X","BR","8"
2808,"D011401728","01","MO","M","21","SI","X","BR","5"
2809,"D011401729","01","CA","M","31","SI","X","BR","3"
2810,"D011401729","02","CA","M","32","SI","X","BR","5"
2811,"D011401730","01","SI","X","SI","SI","X","BR","8"
2812,"D011401731","01","MO","M","32","SI","X","BR","3"
