Identificação,id_acidente,id_vitima,id_veiculo,sexo,idade,tipo_vitima,classificacao,tipo_veiculo,estado_alcoolizacao,escolaridade,data
492,"D011400443","001","01","M","72","PD","M","ON","BR","7","31/01/2014"
991,"D011400863","001","01","M","16","CD","M","MO","BR","3","05/01/2014"
992,"D011400863","002","01","M","18","PS","F","MO","BR","3","          "
2015,"D011401700","001","01","M","26","CD","F","AU","BR","3","          "
2016,"D011401700","002","01","F","18","PS","M","AU","BR","5","01/01/2014"
2017,"D011401701","001","01","M","27","CD","M","MO","BR","3","05/01/2014"
2018,"D011401702","001","01","M","SI","PD","M","SI","BR","8","06/01/2014"
2019,"D011401704","001","01","F","45","PD","M","AU","BR","8","07/01/2014"
2020,"D011401705","001","01","M","26","CD","F","MO","BR","5","          "
2021,"D011401705","002","01","M","32","PD","M","MO","BR","3","08/01/2014"
2022,"D011401706","001","01","M","44","PD","M","ON","BR","8","09/01/2014"
2023,"D011401707","001","01","M","24","CD","M","MO","BR","5","10/01/2014"
2024,"D011401708","001","01","M","50","PD","M","ON","BR","7","10/01/2014"
2025,"D011401709","001","01","F","72","PD","M","ON","BR","2","10/01/2014"
2026,"D011401710","001","01","F","75","PD","M","AU","BR","2","11/01/2014"
2027,"D011401711","001","01","M","43","CD","M","BI","BR","5","11/01/2014"
2028,"D011401712","001","01","M","42","CD","M","MO","BR","7","11/01/2014"
2029,"D011401713","001","01","M","19","CD","M","MO","BR","3","12/01/2014"
2030,"D011401713","002","01","M","21","PS","F","MO","BR","2","          "
2031,"D011401714","001","01","M","36","CD","M","MO","BR","5","13/01/2014"
2032,"D011401715","001","01","M","36","CD","M","MO","BR","6","14/01/2014"
2033,"D011401716","001","01","M","28","PD","M","SI","BR","8","18/01/2014"
2034,"D011401717","001","01","M","SI","PD","M","SI","BR","8","18/01/2014"
2035,"D011401718","001","01","M","16","CD","M","MO","BR","3","20/01/2014"
2036,"D011401719","001","01","M","19","CD","F","MO","BR","3","          "
2037,"D011401719","002","01","F","15","PS","M","MO","BR","2","20/01/2014"
